 (IPCA) (%a.a./252)
Vértices	ETTJ IPCA	ETTJ PRE	Inflação Implícita
252	9,9185	14,3056	3,9912
378	8,8973	13,7792	4,4830
504	8,3688	13,4597	4,6977
630	8,0984	13,3264	4,8363
756	7,9592	13,3198	4,9653
882	7,8836	13,3881	5,1022
1.008	7,8367	13,4946	5,2467
1.134	7,8013	13,6157	5,3936
1.260	7,7691	13,7367	5,5373
1.386	7,7368	13,8488	5,6730
1.512	7,7036	13,9472	5,7970
1.638	7,6693	14,0293	5,9069
1.764	7,6345	14,0941	6,0014
1.890	7,5998	14,1416	6,0797
2.016	7,5656	14,1723	6,1420
2.142	7,5323	14,1870	6,1885
2.268	7,5003	14,1867	6,2198
2.394	7,4697		
2.520	7,4407		
2.646	7,4132		
2.772	7,3873		
2.898	7,3629		
3.024	7,3399		
3.150	7,3184		
3.276	7,2982		
3.402	7,2793		
3.528	7,2615		
3.654	7,2447		
3.780	7,2290		
3.906	7,2142		
4.032	7,2003		
4.158	7,1871		
4.284	7,1747		
4.410	7,1629		
4.536	7,1518		
4.662	7,1413		
4.788	7,1313		
4.914	7,1218		
5.040	7,1128		
5.166	7,1042		
5.292	7,0960		
5.418	7,0882		
5.544	7,0808		
5.670	7,0736		
5.796	7,0668		
5.922	7,0603		
6.048	7,0540		
6.174	7,0480		
6.300	7,0423		
6.426	7,0367		
6.552	7,0314		
6.678	7,0263		
6.804	7,0213		
6.930	7,0166		
7.056	7,0120		
7.182	7,0076		
7.308	7,0033		
7.434	6,9992		
7.560	6,9952		
7.686	6,9913		
7.812	6,9876		
7.938	6,9840		
8.064	6,9805		
8.190	6,9771		
8.316	6,9738		
8.442	6,9706		
8.568	6,9675		
8.694	6,9645		
